"","Regist","anillador","Codigo","No_anillo"
"61","CU6","JU","N","E1125"
"69","JM27","TJ","N","E00818"
"179","3636","JU","N","E00248"
"208","6877","JU","N","E00794"
"275","6783","JU","N","E00768"
"280","6851","JKM","N","E00780"
"281","6853","CA","N","E00781"
"327","7356","JU","A","E00210"
"330","3908","JU","N","E00311"
"349","6730","JU","A","E00391"
"660","3434","JU","N","E00197"
"663","5121","BC","A","E00198"
"755","6898","JU","N","E00796"
"816","3297","JU","R","E00148"
"881","1Y64","JU","A","E00351"
"891","2Y70","KS","N","E1271"
"893","2Y71","CG","N","E1270"
"1060","5297","TJ","N","E00638"
"1134","3399","JU","N","E00188"
"1245","BL102","AS","A","E00796"
"1259","3845","JU","N","E00294"
"1324","3998","JU","N","E00342"
"1516","5213","BC","N","E00625"
"1520","3418","JU","N","E00192"
"1529","NEN47","EB","A","E00525"
"1589","6956","JU","A","E00441"
"1691","6652","JU","A","E00342"
"1709","1Y97","JcM","R","E1536"
"1714","1Y89","EB","N","E1536"
"1722","4298","JU","N","E00409"
"1761","V318","LB","RO","6603"
"1861","5334","JU","N","E00645"
"1884","2ME48","ACH","A","E00828"
"1989","4535","JU","N","E00457"
"2000","BL109","JcM","N","E1593"
"2083","4134","LS","N","E00369"
"2085","4239","LS","N","E00392"
"2097","6562","BC","N","E00733"
"2163","3190","OT","R","E00138"
"2173","7376","OT","N","E1116"
"2232","CU47","JU","R","E00645"
"2241","ME029","AK","N","E00653"
"2255","1M89","JU","A","6711"
"2294","5097","TJ","A","E00195"
"2303","5078","LC","N","E00529"
"2379","BL110","AS","A","E00795"
"2526","2Y81","CA","N","E1272"
"2527","3Y40","ACH","N","E1543"
"2609","3223","JU","R","867"
"2622","7423","OT","A","E00510"
"2709","ME030","AB","N","E00654"
"2711","2ME16","OT","R","E00827"
"2752","3372","JU","N","E00182"
"2791","6076","JU","AO","E00275"
"2806","2SM73","CG","N","E1082"
"2825","6945","JU","N","E1007"
"2913","FP30","ACH","N","E1110"
"2966","6699","JU","R","E00751"
"2973","6467","BC","N","E00705"
"2984","3Y69","PQ","N","E1547"
"3033","1.20E+03","SPC","A","J00041"
"3053","7395","ACH","N","E1119"
"3113","CU48","JU","N","E1130"
"3119","2ME7","AS","A","E00827"
"3192","6064","AdH","A","E00248"
"3233","4432","JU","N","E00441"
"3258","2B51","JU","R","E00944"
"3364","6680","JU","N","E00751"
"3370","1Y87","SPC","N","E1537"
"3379","2Y46","EB","R","E00751"
"3425","3104","JU","N","J00041"
"3438","3185","JU","N","E00138"
"3504","CU22","PQ","N","E1126"
"3517","2ME62","DU","N","E1264"
"3606","4485","JU","R","E00441"
"3609","6865","CA","N","E00788"
"3740","2Y17","JU","A","E00751"
"3798","3122","JU","N","E00125"
"3923","3317","JU","N","E00169"
"3946","3430","PS","N","E00195"
"3979","3673","ML","N","E00256"
"3992","2SM55","JU","AO","E00247"
"4078","3492","JU","N","E00218"
"4113","1Y27","JcM","A","E00412"
"4179","M526","LB","N","6716"
"4401","3675","ML","N","E00257"
"4447","6884","JU","N","E00795"
"4486","CH112","ACH","N","E1233"
"4527","3915","JU","N","E00318"
"4576","2Y16","AS","N","E1268"
"4631","M518","JU","N","6711"
"4721","5306","CA","N","E00642"
"4745","2ME29","JU","N","E1260"
"4868","1B34","JcM","N","E1067"
"4932","3469","JU","N","E00210"
"4933","3491","JU","N","E00217"
"4936","3931","JU","N","E00325"
"4950","3983","JU","N","E00333"
"4985","4306","JU","N","E00412"
"5007","V1286","AR","AS","6631"
"5045","V1315","AR","N","867"
"5137","CU2","PQ","N","E1124"
"5156","2ME5","EB","A","E00653"
"5157","2ME6","SPC","N","E1258"
"5265","3674","LS","N","E00255"
"5362","CH60","PQ","N","E1216"
"5457","4291","JU","N","E00405"
"5638","3301","JU","N","E00164"
"5714","4450","JU","N","E00445"
"5720","6863","JU","N","E00787"
"5744","2B10","JU","A","E00944"
"5762","4346","JU","N","E00423"
"5765","EX34","JU","N","E1555"
"5786","ME063","TJ","A","E00325"
"5787","ME062","BC","N","E00665"
"5805","6636","JU","AO","E00412"
"5806","6605","JU","A","E00333"
"5877","V214","PS","N","6603"
"5879","V1278","AR","N","842"
"5883","V272","MT","N","6629"
"5901","M523","JU","N","6715"
"5906","M530","AR","N","6718"
"6006","3088","JU","A","6631"
"6174","4354","JU","N","E00424"
"6175","4361","JU","N","E00426"
"6178","6815","BC","R","E00768"
"6184","EX66","CA","N","E1563"
"6187","EX101","CA","N","E1566"
"6324","1.20E+08","JU","N","E1204"
"6346","V1325","SC","R","867"
"6416","5285","JU","N","E00636"
"6441","2ME20","SPC","A","E00332"
"6481","3442","JU","N","E00198"
"6485","5113","AB","N","E00535"
"6587","4357","JU","N","E00425"
"6740","4856","CA","N","E00510"
"6879","3654","JU","N","E00252"
"6938","6092","JU","N","E00848"
"6958","6355","JU","N","E00944"
"6996","EX58","AS","N","E1562"
"6998","3241","JU","N","E00148"
"7039","4050","LS","N","E00351"
"7071","1Y60","JU","N","E1529"
"7173","CU13","JU","A","E00636"
"7176","CU17","JU","A","E00645"
"7189","ME025","AB","AO","E00332"
"7194","2ME60","DU","A","E00332"
"7241","3341","JU","N","E00175"
"7259","NEU38","CA","N","E1137"
"7268","5047","AK","N","E00525"
"7296","3633","JU","N","E00247"
"7432","ME079","CA","N","E00668"
"7468","6679","JU","A","E00369"
"7479","2Y22","JU","A","E00369"
"7523","V222","LB","N","6607"
"7614","2ME63","JU","N","E1265"
"7660","5139","SM","N","E00540"
"7780","EX31","JU","N","E1554"
"7832","1Y63","JU","A","E00342"
"7882","V284","AR","N","6631"
"7913","V1357","PS","N","2804"
"7916","V1333","SC","N","882"
"8019","M1-88","CS","N","E00553"
"8057","3431","JU","N","E00196"
"8285","V238","PS","N","6616"
"8311","V1334","SC","R","867"
"8318","4860","TJ","A","867"
"8361","TN01","TJ","N","E00826"
"8362","TN02","TJ","N","E00827"
"8363","TN03","AB","N","E00828"
"8364","TN04","CS","N","E00829"
"8365","TN05","JU","N","E00830"
"8366","2NEN1","ACH","N","E1514"
"8367","2NEN2","EB","N","E1515"
"8368","3770","JU","N","E00273"
"8370","3773","JU","N","E00274"
"8371","3774","JU","N","E00275"
"8374","6988","VG","N","E1020"
"8375","6989","VG","N","E1021"
"8376","VB2","JU","N","E00702"
"8377","VB1","JKM","N","E00701"
"8378","VB(2)1","JU","N","E00703"
"8379","3863","JU","N","E00299"
"8380","4935","JU","N","E00619"
"8382","3982","MW","N","E00332"
"8383","4123","JU","N","E00364"
"8384","4095","LS","N","E00359"
"8387","4234","OT","N","E00391"
"8389","4321","JU","N","E00419"
"8390","4302","JU","N","E00411"
"8391","4319","JU","N","E00418"
